business_unit,period,revenue_actual,revenue_budget,revenue_forecast,revenue_prior_year,operating_expense_actual,operating_expense_budget,operating_expense_forecast,operating_expense_prior_year,credit_provision_actual,credit_provision_budget,credit_provision_forecast,credit_provision_prior_year,adjusted_profit_actual,adjusted_profit_budget,adjusted_profit_forecast,adjusted_profit_prior_year,cost_to_income_ratio_actual,cost_to_income_ratio_budget,cost_to_income_ratio_forecast,cost_to_income_ratio_prior_year,profit_margin_actual,profit_margin_budget,profit_margin_forecast,profit_margin_prior_year,loan_to_deposit_ratio_actual,loan_to_deposit_ratio_budget,loan_to_deposit_ratio_forecast,loan_to_deposit_ratio_prior_year,npl_ratio_actual,npl_ratio_budget,npl_ratio_forecast,npl_ratio_prior_year,advisory_mix_actual,advisory_mix_budget,advisory_mix_forecast,advisory_mix_prior_year,underwriting_mix_actual,underwriting_mix_budget,underwriting_mix_forecast,underwriting_mix_prior_year,trading_mix_actual,trading_mix_budget,trading_mix_forecast,trading_mix_prior_year,structuring_mix_actual,structuring_mix_budget,structuring_mix_forecast,structuring_mix_prior_year,syndication_mix_actual,syndication_mix_budget,syndication_mix_forecast,syndication_mix_prior_year,revenue_vs_budget,revenue_vs_forecast,revenue_vs_prior_year,operating_expense_vs_budget,operating_expense_vs_forecast,operating_expense_vs_prior_year,credit_provision_vs_budget,credit_provision_vs_forecast,credit_provision_vs_prior_year,adjusted_profit_vs_budget,adjusted_profit_vs_forecast,adjusted_profit_vs_prior_year,revenue_mom,revenue_yoy,t12m_revenue,forecast_accuracy
Capital Markets,2025-04-30,8.314,8.189,8.299,7.744000000000001,3.624,3.603,3.641,3.369,0.0,0.0,0.0,0.0,4.6899999999999995,4.586,4.6579999999999995,4.375,0.4358912677411595,0.43998046159482235,0.43872755753705267,0.4350464876033058,0.5641087322588404,0.5600195384051777,0.5612724424629473,0.5649535123966941,,,,,,,,,0.2719509261486649,0.2702405666137502,0.2714784913845042,0.27053202479338845,0.3188597546307433,0.3172548540725363,0.31594167972044823,0.31792355371900827,0.23839307192687034,0.2409329588472341,0.2402699120375949,0.24018595041322313,0.0926148664902574,0.09354011478813042,0.09326424870466322,0.09284607438016527,0.07818138080346404,0.078031505678349,0.0790456681527895,0.07851239669421486,0.015264379045060446,0.001807446680322999,0.07360537190082636,0.005828476269775161,-0.004669046965119447,0.07569011576135348,,,,0.022677714784125426,0.006869901245169607,0.07199999999999988,,0.07360537190082636,8.314,0.998192553319677
Capital Markets,2025-05-31,8.155000000000001,8.057500000000001,8.204,7.616,3.55,3.54,3.54,3.307,0.0,0.0,0.0,0.0,4.605000000000001,4.517500000000001,4.664000000000001,4.308999999999999,0.43531575720416915,0.43934222773813214,0.43149683081423695,0.4342174369747899,0.5646842427958308,0.5606577722618679,0.568503169185763,0.56578256302521,,,,,,,,,0.27161250766400974,0.2670183059261557,0.27242808386153095,0.2727153361344538,0.3182096873083997,0.31808873720136516,0.31630911750365676,0.31473214285714285,0.2399754751686082,0.24225876512565928,0.2409800097513408,0.2408088235294118,0.09294911097486204,0.09345330437480608,0.09263773768893223,0.0934873949579832,0.07725321888412016,0.07918088737201365,0.07764505119453924,0.0782563025210084,0.01210052745888925,-0.0059726962457337255,0.0707720588235296,0.0028248587570620866,0.0028248587570620866,0.07348049591775019,,,,0.019369120088544623,-0.012650085763293153,0.06869343235089397,-0.0191243685350011,0.0707720588235296,16.469,0.9940273037542663
Capital Markets,2025-06-30,7.714,7.659,7.748,7.228,3.414,3.368,3.365,3.137,0.0,0.0,0.0,0.0,4.300000000000001,4.291,4.383,4.090999999999999,0.4425719471091522,0.43974409191800495,0.4343056272586474,0.43400664084117324,0.5574280528908478,0.5602559080819951,0.5656943727413526,0.5659933591588268,,,,,,,,,0.2713248638838475,0.2728815772294033,0.2719411461022199,0.2726895406751522,0.3176043557168784,0.3142707925316621,0.3176303562209602,0.3162700608743774,0.23917552501944514,0.24076250163206686,0.2391584925141972,0.24031543995572774,0.09411459683691988,0.09400705052878966,0.09344346928239546,0.09352517985611512,0.07778065854290898,0.07807807807807808,0.07782653588022716,0.07719977863862756,0.007181094137615956,-0.00438822922044396,0.06723851687880474,0.01365795724465566,0.014561664190193144,0.08830092445011162,,,,0.0020974131903985877,-0.01893680127766354,0.05108775360547579,-0.054077253218884236,0.06723851687880474,24.183,0.9956117707795561
Capital Markets,2025-07-31,7.348,7.235,7.275,6.904,3.206,3.144,3.19,2.985,0.0,0.0,0.0,0.0,4.1419999999999995,4.091,4.085000000000001,3.919,0.4363091997822537,0.4345542501727713,0.43848797250859106,0.4323580533024334,0.5636908002177463,0.5654457498272287,0.561512027491409,0.5676419466975666,,,,,,,,,0.27245508982035926,0.2703524533517622,0.27298969072164947,0.27187137891077634,0.3185900925421884,0.31928127159640635,0.31422680412371135,0.3161935110081112,0.23843222645617856,0.23842432619212164,0.2415120274914089,0.24058516801854,0.0925421883505716,0.09357290946786455,0.09305841924398625,0.09356894553881807,0.07798040283070223,0.07836903939184518,0.07821305841924397,0.07778099652375435,0.015618521078092543,0.010034364261168317,0.06431054461181923,0.01972010178117043,0.005015673981191227,0.07403685092127306,,,,0.012466389635785693,0.01395348837209268,0.05690227098749666,-0.04744620171117453,0.06431054461181923,31.531000000000002,0.9899656357388317
Capital Markets,2025-08-31,7.168,7.0760000000000005,7.073,6.685,3.12,3.049,3.107,2.929,0.0,0.0,0.0,0.0,4.048,4.027000000000001,3.966,3.756,0.43526785714285715,0.4308931599773883,0.43927612045808,0.4381451009723261,0.5647321428571429,0.5691068400226117,0.5607238795419199,0.5618548990276739,,,,,,,,,0.27218191964285715,0.27063312605992085,0.27074791460483527,0.27329842931937176,0.32073102678571425,0.31755228942905595,0.3164145341439276,0.3162303664921466,0.2373046875,0.24010740531373656,0.24091616004524244,0.2385938668661182,0.09249441964285715,0.09327303561334087,0.09345397992365333,0.09409124906507106,0.07728794642857144,0.07843414358394574,0.0784674112823413,0.07778608825729245,0.013001695873374736,0.013431358687968294,0.07225130890052364,0.023286323384716357,0.004184100418410009,0.06520996927278945,,,,0.005214800099329281,0.020675743822491138,0.07774227902023437,-0.024496461622210086,0.07225130890052364,38.699,0.9865686413120317
Capital Markets,2025-09-30,7.346,7.252000000000001,7.295,6.914,3.175,3.141,3.211,2.987,0.0,0.0,0.0,0.0,4.171,4.111000000000001,4.084,3.9269999999999996,0.4322080043561121,0.43312189740761164,0.4401644962302947,0.43202198437951983,0.5677919956438878,0.5668781025923884,0.5598355037697053,0.5679780156204801,,,,,,,,,0.2706234685543153,0.27082184225041367,0.2742974640164496,0.2740815736187446,0.31459297576912604,0.3201875344732487,0.31665524331734063,0.3164593578247035,0.2431255104818949,0.2384169884169884,0.23838245373543523,0.23965866358113974,0.09324802613667303,0.09349145063430778,0.0928032899246059,0.09271044258027192,0.07841001905799073,0.07708218422504137,0.0778615490061686,0.07708996239514031,0.012961941533370023,0.006991089787525724,0.062481920740526525,0.010824578159821652,-0.011211460604173166,0.06293940408436549,,,,0.014594989053758112,0.021302644466209754,0.06213394448688584,0.02483258928571419,0.062481920740526525,46.045,0.9930089102124743
Capital Markets,2025-10-31,7.795999999999999,7.662,7.724,7.336,3.403,3.322,3.347,3.157,0.0,0.0,0.0,0.0,4.392999999999999,4.34,4.377000000000001,4.179,0.4365059004617753,0.4335682589402245,0.43332470222682545,0.4303435114503817,0.5634940995382246,0.5664317410597755,0.5666752977731746,0.5696564885496184,,,,,,,,,0.27052334530528477,0.2717306186374315,0.27110305541170376,0.2705834242093784,0.32029245767060033,0.32054293918037063,0.315639564992232,0.31774809160305345,0.23999486916367369,0.237144348734012,0.24067840497151735,0.238958560523446,0.09209851205746537,0.09357870007830853,0.09476954945624029,0.09419302071973827,0.07709081580297589,0.07700339336987731,0.07780942516830658,0.07851690294438385,0.017488906290785623,0.009321595028482545,0.06270447110141754,0.024382901866345563,0.01673140125485511,0.07792207792207792,,,,0.012211981566820058,0.0036554717843267615,0.05120842306771922,0.061257827389055164,0.06270447110141754,53.841,0.9906784049715175
Capital Markets,2025-11-30,8.265,8.129,8.133,7.757000000000001,3.592,3.518,3.556,3.344,0.0,0.0,0.0,0.0,4.673,4.611,4.576999999999999,4.413,0.43460375075620084,0.4327715586172961,0.43723103405877295,0.4310944952945726,0.5653962492437992,0.5672284413827039,0.562768965941227,0.5689055047054273,,,,,,,,,0.2724742891712038,0.2708820273096322,0.27271609492192306,0.27162562846461263,0.31772534785238954,0.3183663427235823,0.31734907168326576,0.31893773365992006,0.23956442831215968,0.2404969860991512,0.23718185171523426,0.2395255897898672,0.09340592861464005,0.09226227088202732,0.09418418787655233,0.0928193889390228,0.07683000604960677,0.07799237298560709,0.07856879380302473,0.07709165914657727,0.016730225119941076,0.016230173367761155,0.06548923552919943,0.021034678794769838,0.01012373453318336,0.07416267942583739,,,,0.01344610713511175,0.020974437404413588,0.05891683661907994,0.060159055926116034,0.06548923552919943,62.106,0.9837698266322389
Capital Markets,2025-12-31,8.428999999999998,8.280999999999999,8.329,7.872999999999999,3.665,3.562,3.5460000000000003,3.405,0.0,0.0,0.0,0.0,4.7639999999999985,4.718999999999999,4.783,4.468,0.4348083995729032,0.43014128728414447,0.42574138552047064,0.4324907913120793,0.5651916004270968,0.5698587127158555,0.5742586144795293,0.5675092086879208,,,,,,,,,0.27037608257207263,0.2729138992875257,0.272061471965422,0.270036834751683,0.3192549531379761,0.31771525178118587,0.314683635490455,0.3189381430204497,0.2394115553446435,0.2387392826953267,0.24144555168687717,0.2385367712434904,0.09265630561157909,0.09298393913778531,0.09388882218753751,0.09462720690969136,0.0783011033337288,0.07764762709817656,0.07792051866970824,0.07786104407468564,0.017872237652457396,0.012006243246487917,0.0706211101232058,0.028916339135317295,0.03355893965031014,0.07635829662261387,,,,0.009535918626827516,-0.0039724022579974705,0.06624888093106501,0.019842710223835214,0.0706211101232058,70.535,0.9879937567535121
Capital Markets,2026-01-31,8.298,8.047,8.163,7.708,3.585,3.473,3.536,3.341,0.0,0.0,0.0,0.0,4.713,4.574000000000001,4.627000000000001,4.367,0.43203181489515546,0.43158941220330554,0.4331740781575401,0.43344577062791906,0.5679681851048446,0.5684105877966945,0.56682592184246,0.5665542293720809,,,,,,,,,0.2725958062183659,0.27140549273021003,0.2709788068112214,0.2716658017644006,0.3156182212581345,0.3180067105753697,0.3194903834374617,0.3166839647119875,0.2405398891299108,0.23971666459550142,0.2391277716525787,0.24065905552672548,0.09399855386840203,0.09320243569031937,0.09298052186696068,0.09276076803321225,0.07724752952518679,0.07766869640859947,0.07742251623177752,0.0782304099636741,0.03119174847769348,0.016538037486218276,0.07654385054488841,0.03224877627411463,0.013857466063348397,0.07303202633941926,,,,0.030389156099693775,0.01858655716446929,0.07923059308449738,-0.015541582631391493,0.07654385054488841,78.833,0.9834619625137817
