business_unit,period,rule,severity,metric,value,message
Capital Markets,2026-06-30,Expense over budget,Yellow,Expense vs Budget,0.08002177463255308,Capital Markets expense exceeded budget by 8.0% in Jun 2026.
Commercial Real Estate,2026-06-30,Credit provision over forecast,Yellow,Credit Provision vs Forecast,0.09490333919156424,Commercial Real Estate credit provision exceeded forecast by 9.5% in Jun 2026.
Capital Markets,2026-05-31,Revenue recovery,Green,Revenue MoM,0.018546503640609835,Capital Markets returned to positive monthly growth in May 2026.
Commercial Real Estate,2026-05-31,Credit provision over forecast,Yellow,Credit Provision vs Forecast,0.08918406072106248,Commercial Real Estate credit provision exceeded forecast by 8.9% in May 2026.
Commercial Real Estate,2026-05-31,Trailing 12M low margin,Yellow,Profit Margin,0.6590854680392626,Commercial Real Estate reached its lowest trailing-window margin (65.9%) in May 2026.
Capital Markets,2026-04-30,Three-month revenue decline,Red,Revenue MoM,-0.02190271432410651,Capital Markets recorded three consecutive monthly revenue declines through Apr 2026.
Capital Markets,2026-03-31,Three-month revenue decline,Red,Revenue MoM,-0.053301106729423675,Capital Markets recorded three consecutive monthly revenue declines through Mar 2026.
Commercial Real Estate,2026-01-31,Trailing 12M low margin,Yellow,Profit Margin,0.6626506024096386,Commercial Real Estate reached its lowest trailing-window margin (66.3%) in Jan 2026.
Commercial Banking,2025-12-31,Revenue recovery,Green,Revenue MoM,0.0017860500094002418,Commercial Banking returned to positive monthly growth in Dec 2025.
Commercial Banking,2025-11-30,Three-month revenue decline,Red,Revenue MoM,-0.0025316455696203777,Commercial Banking recorded three consecutive monthly revenue declines through Nov 2025.
Commercial Banking,2025-10-31,Three-month revenue decline,Red,Revenue MoM,-0.007814680435389132,Commercial Banking recorded three consecutive monthly revenue declines through Oct 2025.
Capital Markets,2025-09-30,Revenue recovery,Green,Revenue MoM,0.01994977678571419,Capital Markets returned to positive monthly growth in Sep 2025.
Commercial Banking,2025-09-30,Trailing 12M low margin,Yellow,Profit Margin,0.6304772536980184,Commercial Banking reached its lowest trailing-window margin (63.0%) in Sep 2025.
Capital Markets,2025-08-31,Three-month revenue decline,Red,Revenue MoM,-0.024496461622210086,Capital Markets recorded three consecutive monthly revenue declines through Aug 2025.
Commercial Banking,2025-08-31,Trailing 12M low margin,Yellow,Profit Margin,0.6339754816112084,Commercial Banking reached its lowest trailing-window margin (63.4%) in Aug 2025.
Capital Markets,2025-07-31,Three-month revenue decline,Red,Revenue MoM,-0.04744620171117453,Capital Markets recorded three consecutive monthly revenue declines through Jul 2025.
Commercial Banking,2025-07-31,Trailing 12M low margin,Yellow,Profit Margin,0.6347442842714168,Commercial Banking reached its lowest trailing-window margin (63.5%) in Jul 2025.
